(37,46,49,51,53,58)
(7,17,27,36,45,51)
(8,9,10,13,35,53)
(3,11,14,21,48,56)
(19,35,39,41,42,43) -
(26,28,37,39,52,53) -

(1,17,19,20,37,47)
(1,6,23,24,25,54)

(29,34,52,54,56,57)
(4,5,18,26,36,47) -
(5,10,12,17,34,40) -
(13,19,29,49,53,60) -
(7,9,22,31,32,45) +++ lista de 1 +++
(9,14,16,44,51,55) +++ lista de 1 +++
(11,20,41,47,53,60) +++ lista de 2 +++
(6,12,22,25,32,41) +++ lista de 2 +++
(17,23,42,52,53,57) +++ lista de 2 +++ -
(7,17,24,31,35,38) +++ lista de 2 +++ -

(4,31,35,52,2,59) *
(6,16,22,26,41,15)
(13,17,31,41,33,52)
(4,30,50,53,54,55)

(10,32,40,44,57,60) * 
(10,16,18,38,42,44)
(17,30,37,42,44,48)
(18,30,35,48,51,54)
(4,16,18,19,47,58)
(12,13,26,30,40,60)
(6,10,11,44,47,54)
(7,9,34,55,58,59)




###adicionado na lista de jogos do arquivo jogos.py ###########
(26,28,37,39,52,53),(17,23,42,52,53,57),(4,31,35,52,54,59),(5,10,12,17,34,40),(7,17,24,31,35,38),(13,19,29,49,53,60),(10,32,40,44,57,60),(19,35,39,41,42,43),(4,5,18,26,36,47),(4,30,44,53,54,55),(10,16,18,38,42,44),(17,30,37,42,44,48),(7,9,22,31,32,45),(18,30,35,48,51,54),(4,16,18,19,47,58),
