4,5,10,16,43,58
10,11,22,37,45,60
10,27,30,35,47,49
4,6,10,11,27,51
2,10,24,31,45,57
8,10,11,33,35,60
3,6,10,13,19,29
1,8,10,27,49,51
9,10,20,31,35,44
10,17,21,52,53,58
4,6,10,40,46,56
8,10,13,42,50,57
1,8,10,37,49,58
10,13,16,45,47,52
3,10,20,28,31,56
2,10,16,31,38,56
4,6,10,17,19,50
6,7,9,10,35,59
4,10,15,17,52,59
3,10,30,33,39,46
10,20,29,34,37,54
3,8,10,12,32,57
6,7,10,27,32,59
8,10,30,38,39,44
10,22,24,33,39,53
3,10,28,32,34,38
10,14,21,22,23,35
9,10,20,38,49,51
9,10,25,31,48,50
9,10,21,37,48,49
5,6,7,10,22,54
10,13,14,38,47,56







5,19,26,27,41,60
5,18,42,46,49,59
18,26,33,43,55,58
1,21,28,33,45,47
2,12,21,41,44,53
7,9,15,34,46,57
3,17,21,28,37,46
1,11,19,20,39,41
4,13,14,33,50,53
3,31,35,42,45,46
3,5,16,21,28,58
7,17,18,41,43,57
5,22,25,39,47,50
8,11,20,24,34,38
19,20,21,24,37,59
2,4,17,19,45,53
4,5,6,16,35,45
3,9,23,25,38,59
14,26,35,37,48,49
1,7,20,31,35,53
11,34,44,46,50,51
11,12,29,30,31,36
17,37,43,44,51,57
1,14,16,45,48,59
1,5,8,22,30,46
11,18,29,34,40,44
17,31,40,55,57,58
1,16,30,38,47,48
1,22,37,42,47,56
1,18,26,44,52,57
3,11,27,33,46,56
1,15,17,19,50,55
7,9,24,38,41,45
1,8,13,22,48,54
9,20,21,37,42,45
6,11,17,19,25,57
18,21,25,45,55,60
6,9,43,50,55,60
2,13,14,23,50,55
12,21,26,38,52,60
4,17,19,35,43,46
8,20,33,44,45,58
1,27,41,43,54,55
36,45,49,52,57,59
4,5,7,27,51,60
15,19,38,43,45,60
3,28,38,52,53,59
30,40,47,49,51,53
2,26,27,30,55,56
5,20,21,47,49,58
2,4,19,35,42,59
5,6,11,29,42,47
3,7,19,31,34,44
16,33,46,48,56,60
9,14,23,33,35,41
14,20,30,31,34,54
7,15,24,29,32,35
2,4,5,8,33,60
16,23,26,30,47,55
5,11,18,50,54,56
16,17,28,43,44,45
31,38,45,46,57,60
29,33,36,42,49,53
2,6,23,25,44,52
2,5,36,44,50,51
7,22,23,32,35,48
9,12,25,27,34,59
7,18,24,41,42,58
14,21,26,30,34,39
13,23,42,44,46,52
4,23,27,35,37,40
15,36,44,46,49,54
12,17,22,30,45,46
19,22,31,38,41,56
18,20,23,29,51,54
2,9,17,19,28,42
1,15,18,20,21,39
19,27,41,49,53,54
8,15,25,26,53,55
4,5,16,23,44,47
4,16,23,24,33,43
21,29,35,36,50,60
6,8,11,24,52,53
29,44,49,56,59,60
2,18,41,42,43,55
11,25,27,29,31,54
2,6,13,33,34,55
15,18,25,37,44,59
4,9,19,22,24,37
2,6,20,32,49,54
13,22,24,47,51,53
8,14,23,27,45,53
1,2,16,30,55,59
1,6,25,28,56,59
16,24,27,57,59,60
13,29,41,48,52,60
15,24,52,54,57,59
21,37,38,46,57,60
5,9,32,33,35,49
7,14,15,18,48,57
1,16,22,26,50,52
13,17,34,49,51,59
2,8,21,34,37,42
5,7,29,36,43,50
6,15,29,32,50,58
3,7,9,16,17,47
5,25,30,34,49,59
28,31,37,42,47,55
6,16,17,22,29,48
15,16,22,33,42,50
2,8,14,24,29,40
7,13,29,37,52,54
3,8,20,30,31,58
2,9,32,36,37,56
8,25,27,38,46,53
2,3,5,25,28,42
23,26,30,40,41,50
4,14,20,34,36,37
17,20,38,42,53,56
13,18,30,45,50,52
6,27,35,37,41,46
8,9,10,27,48,59
4,8,20,39,46,52
15,17,35,36,42,55
10,17,39,48,55,57
2,5,28,33,37,41
13,16,35,41,48,52
5,7,8,9,55,60
16,32,34,35,45,50
1,12,19,22,31,48
13,21,24,51,53,56
16,18,20,27,33,36
2,6,12,22,30,35
2,16,21,28,41,46
23,37,38,50,51,57
1,10,12,32,40,41
6,8,16,29,36,50
8,21,31,35,40,54
26,32,44,49,52,55
1,6,7,26,38,59
18,33,47,49,51,57
8,11,24,47,58,59
1,6,19,28,54,60
11,19,26,34,52,56
15,23,24,53,54,57
19,20,24,32,34,43
7,11,15,21,24,58
16,23,30,37,44,45
8,9,12,13,24,27
15,22,23,44,54,57
29,32,33,38,44,46
8,9,10,17,21,32
5,10,11,13,35,36
7,23,28,29,52,58
15,18,24,31,39,50
10,16,33,34,38,53
11,18,40,45,58,60
7,11,36,43,54,57
1,3,10,14,53,55
6,17,23,27,38,50
3,20,25,41,47,52
4,16,18,38,49,57
14,35,38,42,43,49
3,8,28,36,38,59
19,25,40,43,46,57
10,21,22,29,42,52
25,29,31,33,35,41
19,27,28,35,54,60
19,40,47,52,53,55
6,9,12,47,48,52
11,12,13,14,23,39
3,6,7,24,32,40
3,7,24,31,52,60
24,30,33,41,42,54
14,22,48,54,55,57
7,8,18,27,49,53
18,22,29,37,45,60
4,10,25,27,35,38
15,18,22,23,39,56
4,11,33,44,45,55
